,ID,lat,lon,start_date,incident name,fully_contained,geographic_area,new,size,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,rain,weather,weather_description
258,19739,31.453,-109.042,5/9/2023 12:00:00 AM,COWBOY,,SWC,y,350.0,300.17,299.0,1008,8,264.22,0,,3.75,230,,Clear,clear sky
259,19745,36.481,-103.913,5/10/2023 12:00:00 AM,Lower_Garret_Dam,c,SWC,y,343.0,299.78,299.78,1004,8,263.96,98,,7.69,217,,Clouds,overcast clouds
260,19758,33.797,-107.355,5/8/2023 12:00:00 AM,ROSEDALE,c,SWC,,505.0,298.29,297.12,1010,10,265.5,0,,6.19,259,,Clear,clear sky
261,19765,41.014,-74.285,5/14/2023 12:00:00 AM,Cannon_Ball_2,c,EACC,y,107.0,296.82,296.0,1016,29,277.75,0,10000.0,0.0,0,,Clear,clear sky
262,19772,40.788,-76.206,5/14/2023 12:00:00 AM,Morea_Road,c,EACC,y,133.0,292.65,292.25,1015,61,284.94,0,,0.45,302,,Clear,clear sky
263,19784,32.858,-104.668,5/18/2023 12:00:00 AM,82,c,SWC,,1252.0,296.74,295.83,1012,26,276.14,0,10000.0,5.14,280,,Clear,clear sky
264,19801,25.93,-81.035,5/2/2023 12:00:00 AM,Sandy,,SAC,,19814.0,299.0,299.44,1012,69,292.88,3,,6.07,271,,Clear,clear sky
265,19802,35.777,-105.266,5/10/2023 12:00:00 AM,Las_Tusas,c,SWC,,978.0,296.2,294.77,1017,8,261.56,0,10000.0,9.77,210,,Clear,clear sky
266,19803,33.806,-112.8,5/11/2023 12:00:00 AM,Cloud,,SWC,,871.0,297.07,295.91,1010,15,269.37,1,,2.41,246,,Clear,clear sky
267,19805,42.483,-70.995,5/17/2023 12:00:00 AM,Mount_Moriah,,EACC,,190.0,295.99,295.06,997,28,276.54,0,10000.0,9.26,220,,Clear,clear sky
268,19807,45.572,-120.394,5/19/2023 12:00:00 AM,RATTLESNAKE_0123_RV,c,NWCC,,320.0,305.27,304.77,1010,35,287.89,72,,3.0,318,,Clouds,broken clouds
269,19810,42.803,-115.357,5/21/2023 12:00:00 AM,Grindstone,c,GBC,y,3146.0,306.0,303.63,1011,12,272.91,1,,2.36,17,,Clear,clear sky
270,19832,45.834,-119.743,5/21/2023 12:00:00 AM,TOWER_ROAD,,NWCC,,2750.0,310.23,310.2,1008,27,288.13,90,,2.99,193,,Clouds,overcast clouds
271,19833,42.501,-71.006,5/12/2023 12:00:00 AM,Deep_Woods_Trail,c,EACC,,135.0,291.71,290.93,1019,50,281.1,0,10000.0,3.6,200,,Clear,clear sky
272,19834,63.981,-145.349,5/20/2023 12:00:00 AM,Barley_Way,,ACC,,310.0,295.8,294.72,1008,23,273.63,75,10000.0,2.06,0,,Clouds,broken clouds
273,19851,35.04,-79.233,5/23/2023 12:00:00 AM,Vass_Road_#2,c,SAC,,190.0,297.58,297.36,1018,49,286.18,91,,3.65,53,,Clouds,overcast clouds
274,19856,43.248,-116.053,5/30/2023 12:00:00 AM,ORCHARD,c,GBC,y,380.0,301.78,300.67,1006,29,282.02,39,,1.42,322,,Clouds,scattered clouds
275,19862,44.511,-85.389,5/28/2023 12:00:00 AM,Fife_Lake_Outlet,c,EACC,,136.0,293.06,291.94,1024,32,275.89,88,,2.8,352,,Clouds,overcast clouds
276,19864,47.414,-120.22,5/28/2023 12:00:00 AM,TENTH_STREET,c,NWCC,y,342.0,298.81,298.21,1009,30,279.96,40,10000.0,4.63,350,0.26,Rain,light rain
277,19866,44.191,-122.139,5/31/2023 12:00:00 AM,W_-_470,,NWCC,y,150.0,292.31,291.64,1013,52,282.23,10,,2.76,296,,Clear,clear sky
278,19882,39.606,-74.935,5/29/2023 12:00:00 AM,Box_Turtle,c,EACC,,100.0,294.32,294.01,1016,58,285.74,79,,2.54,143,,Clouds,broken clouds
279,19886,43.933,-123.517,5/30/2023 12:00:00 AM,7K,,NWCC,,353.0,295.12,294.81,1012,55,285.68,0,,4.15,321,,Clear,clear sky
280,19889,34.86,-77.051,4/21/2023 12:00:00 AM,GREAT_LAKES,,SAC,,32156.0,294.53,294.32,1021,61,286.71,0,10000.0,3.6,190,,Smoke,smoke
281,19893,44.432,-83.573,6/3/2023 12:00:00 AM,Oats,,EACC,y,300.0,295.04,294.22,1018,36,279.31,0,10000.0,2.57,40,,Clear,clear sky
282,19895,44.635,-84.614,6/3/2023 12:00:00 AM,Wilderness_Trail,c,EACC,,2410.0,302.62,301.3,1018,28,282.22,0,10000.0,6.17,70,,Clear,clear sky
283,19896,39.635,-74.446,5/31/2023 12:00:00 AM,Allen_Road,c,EACC,,5000.0,286.85,286.31,1022,78,283.09,0,,4.3,76,,Clear,clear sky
284,19897,33.642,-111.552,6/4/2023 12:00:00 AM,Bullet,,SWC,,3355.0,307.61,305.01,1005,10,271.79,2,,1.79,253,,Clear,clear sky
